,hour_of_day,day_of_week,month,holiday,weekday,summertime,temp,dew,humidity,precip,snow,snowdepth,windspeed,cloudcover,visibility
hour_of_day,1.0,-0.00596313073655989,-0.016502772317454634,0.012732032444500876,-0.028899040262499596,0.005375917265072566,0.1579942371946981,-0.02306716477119962,-0.3259878862853388,-0.00874740926221731,,-0.006030573112565946,0.16131260143348614,0.0026716979237933532,0.012115299653944103
day_of_week,-0.00596313073655989,1.0,-0.032363213484548424,-0.12875868932435042,-0.7861495404789236,0.01026330681358435,0.003726546197236527,0.014271390898555038,0.01697609622457039,-0.011157846389474542,,-0.045929532410643716,0.03372629842557204,0.04335361076165021,-0.01880992522925096
month,-0.016502772317454634,-0.032363213484548424,1.0,-0.01602120578292931,0.04925372837222719,0.04692909223744241,0.20743632254733396,0.2729270458404304,0.17315941440479077,0.004232138524113139,,-0.12775087080521283,-0.20705560623250593,-0.0835440993526966,0.028286738141834796
holiday,0.012732032444500876,-0.12875868932435042,-0.01602120578292931,1.0,0.11829396874180695,-0.1321323270125242,-0.055069188538906605,-0.06023852521120254,-0.017260020104065823,-0.005563919038404591,,-0.013384631695943724,-0.01912873259758485,0.014093070038150931,-0.028171076797446386
weekday,-0.028899040262499596,-0.7861495404789236,0.04925372837222719,0.11829396874180695,1.0,-0.023872278855506985,0.007433476448045551,0.009804418115552526,0.016757985173223394,0.029213521725539607,,0.024332848235080782,-0.024125539447459217,0.008788045772709703,-0.011814648057290756
summertime,0.005375917265072566,0.01026330681358435,0.04692909223744241,-0.1321323270125242,-0.023872278855506985,1.0,0.7076370409558344,0.6459442194399784,0.0647553955183448,0.012930110476589833,,-0.12799101885377256,-0.028826996726957085,-0.02296364173841171,0.06896340595501771
temp,0.1579942371946981,0.003726546197236527,0.20743632254733396,-0.055069188538906605,0.007433476448045551,0.7076370409558344,1.0,0.8715360995666404,0.008305918292872649,-0.0033133730935450837,,-0.1536917842482321,-0.037655892441115474,-0.012420700269939569,0.1199094405791002
dew,-0.02306716477119962,0.014271390898555038,0.2729270458404304,-0.06023852521120254,0.009804418115552526,0.6459442194399784,0.8715360995666404,1.0,0.48958994574346787,0.07156620624758396,,-0.11965983528543966,-0.1907931450539017,0.14684429595570384,-0.05047375632796655
humidity,-0.3259878862853388,0.01697609622457039,0.17315941440479077,-0.017260020104065823,0.016757985173223394,0.0647553955183448,0.008305918292872649,0.48958994574346787,1.0,0.17476761930821977,,0.03359818559340645,-0.3405566360702121,0.3319755832475886,-0.37679575983344193
precip,-0.00874740926221731,-0.011157846389474542,0.004232138524113139,-0.005563919038404591,0.029213521725539607,0.012930110476589833,-0.0033133730935450837,0.07156620624758396,0.17476761930821977,1.0,,0.011241568239830161,0.060778044583610136,0.12665959371678895,-0.4550578146517802
snow,,,,,,,,,,,,,,,
snowdepth,-0.006030573112565946,-0.045929532410643716,-0.12775087080521283,-0.013384631695943724,0.024332848235080782,-0.12799101885377256,-0.1536917842482321,-0.11965983528543966,0.03359818559340645,0.011241568239830161,,1.0,0.1269951413667546,0.06284423739927038,-0.15962333525124558
windspeed,0.16131260143348614,0.03372629842557204,-0.20705560623250593,-0.01912873259758485,-0.024125539447459217,-0.028826996726957085,-0.037655892441115474,-0.1907931450539017,-0.3405566360702121,0.060778044583610136,,0.1269951413667546,1.0,0.08729458068501636,0.0230087262523385
cloudcover,0.0026716979237933532,0.04335361076165021,-0.0835440993526966,0.014093070038150931,0.008788045772709703,-0.02296364173841171,-0.012420700269939569,0.14684429595570384,0.3319755832475886,0.12665959371678895,,0.06284423739927038,0.08729458068501636,1.0,-0.2510012299192017
visibility,0.012115299653944103,-0.01880992522925096,0.028286738141834796,-0.028171076797446386,-0.011814648057290756,0.06896340595501771,0.1199094405791002,-0.05047375632796655,-0.37679575983344193,-0.4550578146517802,,-0.15962333525124558,0.0230087262523385,-0.2510012299192017,1.0
